run,timestamp,logile,clock-lapsedtime-ms,newmac-hd-read~total-tx-sec-IOPs,newmac-hd-read~total-MB-sec
0,1603219770197,313,./tmp, 134295.08,   1048.23
1,1603219770570,373,./tmp, 113384.09,    884.79
2,1603219770937,367,./tmp, 151236.92,   1179.67
3,1603219771355,418,./tmp, 132395.95,   1032.62
4,1603219771768,413,./tmp, 155445.92,   1212.94
5,1603219772278,510,./tmp, 126192.56,    984.89
6,1603219772882,604,./tmp, 108709.01,    848.33
7,1603219773520,638,./tmp, 101922.24,    794.91
8,1603219774167,647,./tmp, 107710.73,    840.03
9,1603219774829,662,./tmp, 102272.17,    798.09
