run,timestamp,logile,clock-lapsedtime-ms,oldmac-hd-write~total-tx-sec-IOPs,oldmac-hd-write~total-MB-sec
0,1603218768079,2142,./tmp,   9492.47,     74.16
1,1603218770418,2339,./tmp,   8733.48,     68.23
2,1603218773167,2749,./tmp,   7682.40,     60.02
3,1603218776680,3513,./tmp,   6041.85,     47.20
4,1603218781338,4658,./tmp,   5007.33,     39.12
5,1603218786769,5431,./tmp,   4209.48,     32.89
6,1603218792022,5253,./tmp,   4341.61,     33.92
7,1603218797606,5584,./tmp,   4159.56,     32.50
8,1603218803634,6028,./tmp,   3921.28,     30.64
9,1603218810468,6834,./tmp,   3702.10,     28.92
