clock,Timestamp,Logfile,Time span(ms),mac-usb~avr-ops-T-s,mac-usb~total-ops-s,mac-usb~MB-T-s,mac-usb~total-MB-s,mac-usb~avr-iterations-s,mac-usb~avr-ms-op,mac-f~avr-ops-T-s,mac-f~total-ops-s,mac-f~MB-T-s,mac-f~total-MB-s,mac-f~avr-iterations-s,mac-f~avr-ms-op,
1,94.0,200,8192,2127.6597,2127.6597,87.14893,87.14893,2127.6597,0.47,
1,20.0,200,8192,,,,,,,10000.0,10000.0,409.6,409.6,10000.0,0.1,
2,328.0,400,8192,1219.5122,2439.0244,49.951218,99.902435,609.7561,0.82,
2,57.0,400,8192,,,,,,,7017.544,14035.088,287.4386,574.8772,3508.772,0.1425,
3,4662.0,600,8192,128.70012,386.10034,5.2715573,15.814672,42.900043,7.77,
3,111.0,600,8192,,,,,,,5405.406,16216.217,221.40541,664.21625,1801.8018,0.185,
4,191.0,800,8192,,,,,,,4188.482,16753.928,171.56021,686.24084,1047.1205,0.23875,
5,300.0,1000,8192,,,,,,,3333.3333,16666.666,136.53334,682.6667,666.6667,0.3,
6,454.0,1200,8192,,,,,,,2643.1719,15859.03,108.26432,649.58594,440.52863,0.37833333,
7,683.0,1400,8192,,,,,,,2049.7803,14348.463,83.95901,587.7131,292.82574,0.48785713,
8,999.0,1600,8192,,,,,,,1601.6016,12812.8125,65.6016,524.8128,200.2002,0.624375,
9,1419.0,1800,8192,,,,,,,1268.4989,11416.49,51.957718,467.61945,140.94434,0.78833336,
10,1983.0,2000,8192,,,,,,,1008.5728,10085.728,41.311146,413.11145,100.857285,0.9915,
11,2720.0,2200,8192,,,,,,,808.82355,8897.059,33.129414,364.42355,73.52941,1.2363636,
12,3641.0,2400,8192,,,,,,,659.1596,7909.915,26.999176,323.9901,54.929966,1.5170833,
13,5217.0,2600,8192,,,,,,,498.3707,6478.8193,20.413265,265.37244,38.33621,2.0065384,
14,7284.0,2800,8192,,,,,,,384.40417,5381.6587,15.745195,220.43274,27.45744,2.6014285,
15,9041.0,3000,8192,,,,,,,331.82172,4977.325,13.591417,203.87126,22.121447,3.0136666,
16,10614.0,3200,8192,,,,,,,301.48862,4823.818,12.348973,197.58357,18.843039,3.316875,
